CODIGO_ARTICULO;ARTICULO;Presentacion;COD_GRUPO;GRUPO;CODIGO_SUBGRUPO;SUBGRUPO;CODIGO_FAMILIA;FAMILIA;EMBALAJE;CatCod;categoria;SubCatCod;subcategoria
101027;ACEITUNA MANZANILLA CORU¥A;"12 UDS X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0100   ";"ACEITUNAS                               ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101029;AJI PICANTE CORUNA;"24 FCO X 98 GR                                              ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;"101-003-9997   ";"VARIOS                                  ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101031;ALCAPARRA EN VINAGRE CORUNA;"24 FCO X 125 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101032;ALCAPARRA EN VINAGRE CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101033;ALCAPARRA EN VINAGRE CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101035;ALCAPARRA EN VINAGRE CORUNA;"4 GLN X 4000 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101037;ALCAPARRA NON PAREILL X 125 GR;"24 UND X CAJA                                               ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101039;ALCAPARRA NON PAREILL X 250 GR;"24 UND X CAJA                                               ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101046;ALCAPARRA EN VINAGRE CORUNA;"24 FCO X 60 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0102   ";"ALCAPARRAS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101050;ARVEJA  NATURAL CORUÑA;"24 LT X 310 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0106   ";"ARVEJAS                                 ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101051;ARVEJA  NATURAL CORUÑA;"12 LT X 600 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0106   ";"ARVEJAS                                 ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101054;ARVEJA CON ZANAHORIA CORUÑA;"24 LT X 310 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0106   ";"ARVEJAS                                 ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101055;ARVEJA CON ZANAHORIA CORUÑA;"12 LT X 580 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0106   ";"ARVEJAS                                 ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101060;BREVAS EN ALMIBAR CORUNA;"24 FCO X 260 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-002 ";"BREVAS                                  ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101061;BREVAS EN ALMIBAR CORUNA;"12 FCO X 560 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-002 ";"BREVAS                                  ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101062;BREVAS EN ALMIBAR CORUNA;"4 FCO X 4000 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-002 ";"BREVAS                                  ";4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101067;COCTEL DE FRUTAS CORUNA;"12 LT X 820 GR                                              ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-9997   ";"VARIOS                                  ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101081;GARBANZOS CORU¥A;"12 LT X 600 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-9997   ";"VARIOS                                  ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101093;CEBOLLITAS ROJAS CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0107   ";"CEBOLLITAS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101094;CEBOLLITAS ROJAS CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0107   ";"CEBOLLITAS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101096;CEBOLLITAS ROJAS CORUNA;"4 UDS X 4000 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0107   ";"CEBOLLITAS                              ";4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101098;CEBOLLITAS ROJAS CORUNA;"12 FCO X 1000GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0107   ";"CEBOLLITAS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101099;CEREZA MARRASQUINO CORUNA;"24 FCO X 125 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0120   ";"CEREZAS                                 ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101100;CEREZA MARRASQUINO CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0120   ";"CEREZAS                                 ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101101;CEREZA MARRASQUINO CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0120   ";"CEREZAS                                 ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101103;CEREZA MARRASQUINO CORUNA;"4 GLN X 4000 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0120   ";"CEREZAS                                 ";4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101109;CIRUELA PASA SIN SEMILLA CORUNA;"24 BL X 200 GR                                              ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0122   ";"CIRUELAS                                ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101119;PALMITOS ENTEROS CORUNA;"24 LT X 400 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0111   ";"ENCURTIDOS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101120;MAIZ TIERNO CORUNA;"24 LT X 432 GR                                              ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-9997   ";"VARIOS                                  ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101136;DURAZNO EN MITADES CORU¥A;"12 LT X 820 GR                                              ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0124   ";"DURAZNOS                                ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101151;ENCURTIDOS EN VINAGRE CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0111   ";"ENCURTIDOS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101152;ENCURTIDOS AGRIDULCE CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0111   ";"ENCURTIDOS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101160;CHAMPI¥ON CORTADO VIDRIO CORU¥A;"12 FCO X 530 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0109   ";"CHAMPIÑONES                             ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101163;ESPARRAGOS ENTEROS CORUNA;"12 FCO X 540 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0113   ";"ESPARRAGOS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101164;ESPARRAGOS ENTEROS CORU¥A;"12 FCO X 330 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0113   ";"ESPARRAGOS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101181;MERMELADA PIÑA DOY PACK X 200 GR CORUÑA;"24 UND X CAJA                                               ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;101-002-0129;MERMELADA;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";9;AZÚCAR, MERMELADA, MIEL, PANELA, OTROS ENDULZANTES, CHOCOLAT
101182;MERMELADA MORA DOY PACK X 200 GR CORUÑA;"24 UND X CAJA                                               ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;101-002-0129;MERMELADA;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";9;AZÚCAR, MERMELADA, MIEL, PANELA, OTROS ENDULZANTES, CHOCOLAT
101183;MERMELADA FRESA DOY PACK X 200 GR CORUÑA;"24 UND X CAJA                                               ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;101-002-0129;MERMELADA;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";9;AZÚCAR, MERMELADA, MIEL, PANELA, OTROS ENDULZANTES, CHOCOLAT
101184;MERMELADA GUAYABA DOY PACK X 200 GR CORUÑA;"24 UND X CAJA                                               ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;101-002-0129;MERMELADA;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";9;AZÚCAR, MERMELADA, MIEL, PANELA, OTROS ENDULZANTES, CHOCOLAT
101201;CHAMPIÑONES CORTADOS FCO CORUÑA;"12 FCO X 280 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0109   ";"CHAMPIÑONES                             ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101212;MAYONESA PET X 3600 GR CORUÑA;"4 UND X CAJA                                                ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0148;MAYONESA;4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101222;SALSA DE TOMATE PET X 4300 GR CORUÑA;"4 UND X CAJA                                                ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0150;SALSA DE TOMATE;4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101231;CEREZA MARRASQUINO CORUNA;"12 FCO X 1000GR                                             ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-0120   ";"CEREZAS                                 ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101268;ANTIPASTO CON ATUN LA CORU¥A;"24 FCO X 360 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-2382   ";"ANTIPASTO                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101269;MAZORQUITAS LA CO0RU¥A;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-2383   ";"MAZORQUITAS                             ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101270;SALSA CHINA CORU¥A;"12 FCO X 1000GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0145;SALSA CHINA;12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101272;SALSA CURRY CORU¥A;"12 FCO X 1000GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0139;SALSA CURRY;12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101273;SALSA TERIYAKI CORU¥A;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0144;SALSA TERIYAKI;12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101274;SALSA VINAGRETA FINA.H FLEXIPAC;"24 UND X 360 G                                              ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;"101-003-2384   ";"VINAGRETA                               ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101275;VINAGRE BALSAMICO CORU¥A;"24 FCO X 200 ML                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;"101-003-0141   ";"VINAGRES                                ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101276;PI¥A TROCITOS CORU¥A;"24 LT X 565 GR                                              ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-9997   ";"VARIOS                                  ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101289;SALSA TERIYAKI CORUNA;"12 FCO X 1000ML                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0144;SALSA TERIYAKI;12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101451;PASTA DE TOMATE CORUNA;"24 FCO X 125 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0138;PASTA DE TOMATE;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101452;PASTA DE TOMATE CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0138;PASTA DE TOMATE;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101460;SALSA BBQ CORUNA;"12 FCO X 290 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;"101-003-2347   ";"SALSA BBQ                               ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101462;SALSA BBQ CORU¥A;"12 FCO X 1000 G                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;"101-003-2347   ";"SALSA BBQ                               ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101463;SALSA SOYA CORU¥A;"12 FCO X 1000 G                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;"101-003-2348   ";"SALSA SOYA                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101481;PEPINILLOS EN VINAGRE CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0115   ";"PEPINILLOS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101482;PEPINILLOS EN VINAGRE CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0115   ";"PEPINILLOS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101483;PEPINILLOS AGRIDULCE CORUNA;"24 FCO X 250 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0115   ";"PEPINILLOS                              ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101484;PEPINILLOS AGRIDULCE CORUNA;"12 FCO X 500 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0115   ";"PEPINILLOS                              ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101486;PEPINILLOS AGRIDULCE CORUNA;"4 FCO X 4000 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0115   ";"PEPINILLOS                              ";4;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101488;PINA EN RODAJAS CORUNA;"24 LT X 565 GR                                              ";101;INDUSTRIAS LA CORUÑA;101-002;FRUTAS;"101-002-9997   ";"VARIOS                                  ";24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101489;CHAMPIÑON ENTERO FCO CORUÑA;"12 FCO X 280 GR                                             ";101;INDUSTRIAS LA CORUÑA;"101-001        ";"CONSERVAS                   ";"101-001-0109   ";"CHAMPIÑONES                             ";12;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101549;SALSA DE AJO  CORU¥A;"24 FCO X 155 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0142;SALSA AJO;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101563;SALSA CURRY CORUNA;"24 FCO X 180 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0139;SALSA CURRY;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101568;SALSA PARA POLLO CORUNA;"24 FCO X 180 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0143;SALSA CARNES Y POLLO;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
101569;SALSA PARA CARNES CORUNA;"24 FCO X 180 GR                                             ";101;INDUSTRIAS LA CORUÑA;101-003;SALSAS;101-003-0143;SALSA CARNES Y POLLO;24;1;"ALIMENTOS Y VIVERES EN GENERAL ";10;PRODUCTOS ALIMENTICIOS NO INCLUIDOS ANTERIORMENTE (SALSAS, P
